Protocol Number | Time (s) | Source Cluster | Destination Cluster | Source IP | Destination IP | Protocol Name | Length (bytes) | Flags (hex)
6 | 1741753054.20 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753054.20 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753054.20 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753054.21 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753054.21 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753054.21 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 183 | DF
6 | 1741753054.21 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 54 | DF
6 | 1741753054.21 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 54 | DF
6 | 1741753054.21 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 212 | DF
6 | 1741753054.22 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 153 | DF
6 | 1741753054.22 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 1012 | DF
6 | 1741753054.22 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 6204 | DF
17 | 1741753054.22 | B | B | 192.168.68.71 | 104.17.152.238 | UDP | 1161 | DF
6 | 1741753054.22 | B | B | 192.168.68.71 | 13.107.246.69 | TCP | 54 | DF
6 | 1741753054.23 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753054.23 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 396 | DF
6 | 1741753054.23 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 123 | DF
6 | 1741753054.23 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 54 | DF
6 | 1741753054.23 | B | B | 192.168.68.71 | 13.107.21.239 | TCP | 92 | DF
6 | 1741753054.24 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 92 | DF
6 | 1741753054.24 | B | B | 13.107.21.239 | 192.168.68.71 | TCP | 54 | DF
